product_id,product_name
1009079,Apple Inc
1009080,Exxon Mobil Corp
1009082,Microsoft Corp
1009083,International Business Machines Corp
1009084,General Electric Co
1009085,AT&T Inc
1009087,Procter & Gamble Co/The
1009090,Pfizer Inc
1009093,Alphabet Inc
1009096,JPMorgan Chase & Co
1009097,Wal-Mart Stores Inc
1009100,3M Co
1009101,Cisco Systems Inc
1009103,Walt Disney Co/The
1009152,"Bank of Communications Co., Ltd."
1009156,China Life Insurance Co. Ltd.
1009157,China Unicom (Hong Kong) Limited
1009158,CNOOC Ltd
1009161,PetroChina Co. Ltd.
1009162,Industrial and Commercial Bank of China Limited
1009164,China Petroleum & Chemical Corp
1009166,China Mobile Limited
1009169,HSBC Holdings PLC
1009174,Cheung Kong (Holdings) Limited
1009238,Wells Fargo & Co
1009467,China Construction Bank Corporation
1009490,American International Group Inc
1009493,"Baidu, Inc"
1009498,McDonald's Corp
1012080,Cash in USD
1012089,Cash in HKD
1012332,"Celltrion, Inc."
1012334,Chesapeake Energy Corp
1012338,AIA Group Ltd
1012339,Ping An Insurance (Grp) Co of China Ltd
1012342,"Meta Platforms, Inc."
1012343,Air Products & Chemicals Inc
1012346,YY Inc
1045647,Corning Inc
1045649,Amazon.com Inc
1045652,Alphabet Inc. Class C
1045654,Netflix Inc
1045655,salesforce.com Inc
1045656,Visa Inc
1045659,Adobe Systems Inc
1045662,Accenture PLC
1045663,"Motorola Solutions, Inc."
1045664,Analog Devices Inc
1045666,Intel Corp
1045667,F5 Networks Inc
1045669,Oracle Corp
1045670,QUALCOMM Inc
1045672,HP Inc
1045677,Alibaba Group Holding Ltd
1045682,Verizon Communications Inc
1045683,Chevron Corp
1045684,Home Depot Inc/The
1045686,Comcast Corp
1045687,Bank of America Corp
1045688,Gilead Sciences Inc
1045689,Altria Group Inc
1045691,CVS Health Corp
1045692,Amgen Inc
1045694,Medtronic PLC
1045697,Mastercard Inc
1045698,AbbVie Inc
1045701,Honeywell International Inc
1045707,Union Pacific Corp
1045709,Eli Lilly & Co
1045713,Colgate-Palmolive Co
1045714,Simon Property Group Inc
1045715,Goldman Sachs Group Inc/The
1045716,Abbott Laboratories
1045717,Lockheed Martin Corp
1045719,Dow Chemical Co/The
1045722,Broadcom Ltd
1045723,Biogen Inc
1045725,Thermo Fisher Scientific Inc
1045726,Duke Energy Corp
1045727,NextEra Energy Inc
1045730,TJX Cos Inc/The
1045732,Target Corp
1045733,Kimberly-Clark Corp
1045743,FedEx Corp
1045746,Bank of New York Mellon Corp/The
1045747,Morgan Stanley
1045757,McKesson Corp
1045758,Cigna Corp
1045759,Emerson Electric Co
1045764,Prudential Financial Inc
1045766,Stryker Corp
1045767,CME Group Inc
1045775,Marsh & McLennan Cos Inc
1045796,Intuit Inc
1045807,Dollar General Corp
1045813,Synchrony Financial
1045821,HCA Healthcare Inc
1045824,Illumina Inc
1045826,Archer-Daniels-Midland Co
1045828,Carnival Corp
1045836,Intuitive Surgical Inc
1045839,Discover Financial Services
1045845,Vertex Pharmaceuticals Inc
1045846,Marathon Petroleum Corp
1045850,Electronic Arts Inc
1045855,Perrigo Co PLC
1045856,Zoetis Inc
1045858,Dollar Tree Inc
1045861,Apache Corp
1045866,Edwards Lifesciences Corp
1045872,M&T Bank Corp
1045873,Amphenol Corp
1045899,FirstEnergy Corp
1045929,Royal Caribbean Cruises Ltd
1045931,Expedia Inc
1045949,Verisk Analytics Inc
1045951,Micron Technology Inc
1045964,Western Digital Corp
1045966,Newell Brands Inc
1045971,Extra Space Storage Inc
1045981,CH Robinson Worldwide Inc
1045984,Universal Health Services Inc
1045994,EQT Corp
1046011,Western Union Co/The
1046012,KeyCorp
1046015,Signet Jewelers Ltd
1046023,Best Buy Co Inc
1046025,Kohl's Corp
1046028,Goodyear Tire & Rubber Co/The
1046030,Interpublic Group of Cos Inc/The
1046032,VeriSign Inc
1046043,Darden Restaurants Inc
1046044,Huntington Bancshares Inc/OH
1046045,Fluor Corp
1046054,PVH Corp
1046075,Iron Mountain Inc
1046080,Frontier Communications Corporation
1046096,People's United Financial Inc
1046097,Garmin Ltd
1046099,News Corp
1046104,Pitney Bowes Inc.
1046110,Teradata Corp
1046116,Urban Outfitters Inc.
1046124,Tencent Holdings Ltd
1046125,Samsung Electronics Ltd
1046128,TAIWAN SEMICONDUCTOR MANUFAC
1046129,LINK REAL ESTATE INVESTMENT TRUST
1046130,HON HAI PRECISION INDUSTRY LTD
1046141,HYUNDAI MOTOR
1046142,SUN HUNG KAI PROPERTIES
1046143,NAVER CORP
1046145,SK HYNIX INC
1046146,JD.COM ADR REPRESENTING INC CLASS
1046148,POWER ASSETS HOLDINGS LTD
1046149,SHINHAN FINANCIAL GROUP LTD
1046150,CTRIP.COM INTERNATIONAL ADR REPRE
1046153,KOREA ELECTRIC POWER CORP
1046154,NETEASE ADR REPRESENTING INC
1046157,KT&G CORP
1046159,POSCO
1046164,BOC HONG KONG HOLDINGS LTD
1046165,AMOREPACIFIC CORP
1046166,KB FINANCIAL GROUP INC
1046169,LARGAN PRECISION LTD
1046173,KIA MOTORS CORP
1046174,FORMOSA PLASTICS CORP
1046179,CHINA PACIFIC INSURANCE (GROUP) LT
1046180,FORMOSA CHEMICALS & FIBRE
1046182,NAN YA PLASTICS CORP.
1046183,LG HOUSEHOLD & HEALTH CARE
1046184,WHARF HOLDINGS LTD
1046186,SK HOLDINGS LTD
1046187,PICC PROPERTY & CASUALTY-H
1046188,SK INNOVATION CO LTD
1046192,FUBON FINANCIAL HOLDING CO
1046193,CHINA MERCHANTS BANK CO. LTD H
1046195,SAMSUNG C&T CORP
1046198,AAC TECHNOLOGIES HOLDINGS IN
1046201,MTR CORP
1046202,HENDERSON LAND DEVELOPMENT
1046204,CHINA RESOURCES LAND LTD
1046208,SWIRE PACIFIC LTD - CL A
1046214,KOREA AEROSPACE INDUSTRIES
1046216,NCSOFT CORP
1046217,HANKOOK TIRE CO LTD
1046229,CHINA TELECOM CORP LTD-H
1046231,HANA FINANCIAL GROUP
1046234,SAMSUNG LIFE INSURANCE CO LT
1046238,Hewlett Packard Enterprise Co
1046239,CITIC LTD
1046240,CHINA SHENHUA ENERGY CO-H
1046241,NEW WORLD DEVELOPMENT
1046244,CHEUNG KONG INFRASTRUCTURE
1046248,QUANTA COMPUTER INC
1046250,SAMSUNG SDI CO LTD
1046251,LG CORP
1046254,CHINA COMMUNICATIONS CONST-H
1046257,LG ELECTRONICS INC
1046260,FIRST FINANCIAL HOLDING CO
1046261,HAITONG SECURITIES CO LTD-H
1046267,LG DISPLAY CO LTD
1046269,UNITED MICROELECTRONICS CORP
1046272,CATCHER TECHNOLOGY CO LTD
1046275,SAMSUNG SDS CO LTD
1046277,HANG LUNG PROPERTIES LTD
1046285,LENOVO GROUP LTD
1046304,PEGATRON CORP
1046309,KOREA ZINC CO LTD
1046310,SK TELECOM
1046312,CRRC CORP LTD - H
1046315,58.COM INC-ADR
1046318,INDUSTRIAL BANK OF KOREA
1046319,KAKAO CORP
1046326,CHINA VANKE LTD H
1046333,CHINA TAIPING INSURANCE HOLD
1046334,NEW CHINA LIFE INSURANCE (H)
1046370,SAMSUNG SECURITIES CO LTD
1046373,REALTEK SEMICONDUCTOR CORP
1046378,"BGF Co., Ltd."
1046381,SHIN KONG FINANCIAL HOLDING
1046388,S-1 CORPORATION
1046394,ACER INC
1046397,AIR CHINA LTD-H
1046398,FIRST PACIFIC CO
1046409,HANWHA CORPORATION
1046411,KOREA INVESTMENT HOLDINGS CO
1046415,PHISON ELECTRONICS CORP
1046419,Fang Holdings Ltd
1046439,POWERTECH TECHNOLOGY INC
1046444,WEICHAI POWER CO LTD-H
1046453,GUANGZHOU R&F PROPERTIES - H
1046454,SAMSUNG CARD CO
1046460,CHINA SOUTHERN AIRLINES CO-H
1046467,GS ENGINEERING & CONSTRUCT
1046468,COSCO SHIPPING Ports Ltd
1046470,AVICHINA INDUSTRY & TECH-H
1046474,GS RETAIL CO LTD
1046477,TRAVELSKY TECHNOLOGY LTD-H
1046479,CHINA COMMUNICATIONS SERVI-H
1046480,NH INVESTMENT & SECURITIES C
1046481,KINGSOFT CORP LTD
1046492,SUNAC CHINA HOLDINGS LTD
1046500,TAIWAN BUSINESS BANK
1046503,VANGUARD INTERNATIONAL SEMI
1046512,CHEIL WORLDWIDE INC
1046515,POSCO DAEWOO CORP
1046519,SHANGHAI ELECTRIC GRP CO L-H
1046520,KT CORP
1046524,LG INNOTEK CO LTD
1046525,CHINA JINMAO HOLDINGS GROUP
1046526,CHINA OILFIELD SERVICES-H
1046538,LOTTE CONFECTIONERY CO LTD
1046540,KUMHO PETROCHEMICAL CO LTD
1046548,CHINA COSCO HOLDINGS-H
1046552,ZTE CORP-H
1046569,SK NETWORKS CO LTD
1046572,NANYA TECHNOLOGY CORP
1046583,DAEWOO ENGINEERING & CONSTR
1046594,CHINA DEVELOPMENT FINANCIAL HOLDIN
1046595,Arthur J Gallagher & Co
1046601,LITE-ON TECHNOLOGY CORP.
1046602,HYUNDAI STEEL
1046605,BEIJING ENTERPRISES HOLDINGS LTD.
1046606,SWIRE PROPERTIES LTD
1046609,GEELY AUTOMOBILE HOLDINGS LTD
1046614,S-OIL CORP
1046617,CHINA STATE CONSTRUCTION INTERNATI
1046618,HUATAI SECURITIES LTD H
1046620,HANMI PHARMACEUTICAL CO. LTD.
1046626,CHINA RAILWAY GROUP LTD H
1046627,DONGBU INSURANCE LTD
1046629,E-MART LTD
1046631,Kunlun Energy Co Ltd
1046632,HYUNDAI GLOVIS LTD
1046633,YUANTA FINANCIAL HOLDING CO. LTD.
1046637,SHENZHOU INTERNATIONAL GROUP LTD
1046638,Guangzhou Automobile Group Co Ltd
1046639,EVERGRANDE REAL ESTATE GROUP LTD.
1046644,HANSSEM CO LTD
1046645,NWS HOLDINGS LTD
1046653,WHEELOCK AND LTD
1046669,CJ CORP
1046676,SAMSUNG ELECTRO MECHANICS LTD
1046678,CHINA RAILWAY CONSTRUCTION CORP LT
1046679,INNOLUX CORP
1046685,CHINA GALAXY SECURITIES CLS H LTD
1046686,ANTA SPORTS PRODUCTS LTD.
1046695,LOTTE SHOPPING LTD
1046699,CHINA CONCH VENTURE HOLDINGS LTD
1046701,COUNTRY GARDEN HOLDINGS LTD
1046704,TAL EDUCATION GROUP ADR REPTG
1046709,SEMICONDUCTOR MANUFACTURING INTERNATIONAL Corp
1046717,YUHAN CORP
1046722,HYUNDAI MARINE & FIRE INSURANCE LT
1046724,NOVATEK MICROELECTRONICS CORP.
1046735,BNK FINANCIAL GROUP INC
1046736,DAELIM INDUSTRIAL LTD
1046737,LG UPLUS CORP
1046740,HANON SYSTEMS
1046749,HOTEL SHILLA CO LTDINARY SHARES KO
1046776,Charter Communications Inc
1046827,VIPSHOP HOLDINGS
1046853,BAIC MOTOR-H
1046921,Cash in KRW
1046922,Cash in TWD
1047000,Duke Realty Corp
1048278,SM Energy Co
1048389,Tesla Inc
1048427,Berkshire Hathaway Inc
1048430,CF Industries Holdings Inc
1048432,Coty Inc
1048434,DXC Technology Co
1048696,Cirrus Logic Inc
1048725,Nice Ltd
1048741,Tanger Factory Outlet Centers Inc
1048754,Doosan Bobcat Inc
1048785,Cheetah Mobile Inc
1050416,ACI Worldwide Inc
1050422,Blackbaud Inc
1050428,CDK Global Inc
1050432,CommVault Systems Inc 
1050438,Entegris Inc
1050440,Fair Isaac Corp
1050442,FireEye Inc
1050443,Fortinet Inc
1050446,IAC/InterActiveCorp
1050452,Manhattan Associates Inc
1050464,Paycom Software Inc
1050467,PTC Inc 
1050468,Science Applications International Corp 
1050470,ServiceNow Inc 
1050477,Teradyne Inc
1050478,Twitter Inc 
1050479,Tyler Technologies Inc
1050482,Verint Systems Inc
1050502,Neurocrine Biosciences Inc
1050503,Alkermes PLC
1050506,Exelixis Inc
1050509,Bio-Techne Corp
1050511,Catalent Inc
1050513,MEDNAX Inc
1050518,Chemed Corp
1050525,Ligand Pharmaceuticals Inc
1050531,Ultragenyx Pharmaceutical Inc
1050532,Horizon Pharma Plc
1050536,ACADIA Pharmaceuticals Inc 
1050539,Syneos Health Inc
1050545,Brookdale Senior Living Inc
1050550,Owens & Minor Inc
1061570,Woori Financial Group Inc
1061571,Samsung Biologics Co Ltd
1061574,Hyundai Heavy Industries Holdings Co Ltd
1061577,Samsung Engineering Co Ltd
1061582,BGF retail Co Ltd
1061587,Pan Ocean Co Ltd
1061591,Hyundai Elevator Co Ltd
1061593,Meritz Securities Co Ltd
1061600,Doosan Infracore Co Ltd
1061601,Mando Corp
1061604,Cosmax Inc
1061606,Kolmar Korea Co Ltd
1061607,Bukwang Pharmaceutical Co Ltd
1061608,Daewoong Pharmaceutical Co Ltd
1061619,Iljin Materials Co Ltd
1061621,LOTTE Fine Chemical Co Ltd
1061622,SKC Co Ltd
1061629,Green Cross Holdings Corp
1061631,Grand Korea Leisure Co Ltd
1061638,Yungjin Pharmaceutical Co Ltd
1061639,SK Chemicals Co Ltd
1061662,LG International Corp
1061663,JW Pharmaceutical Corp
1061684,Kumho Tire Co Inc
1061698,Foosung Co Ltd
1061699,DB HiTek Co Ltd
1061708,Hankook Tire Worldwide Co Ltd
1061717,Tongyang Inc
1061722,SK Discovery Co Ltd
1061723,S&T Motiv Co Ltd
1061740,LIG Nex1 Co Ltd
1061761,KEPCO Engineering & Construction Co Inc
1061966,SsangYong Motor Co. Ltd.
1061973,Unid Co. Ltd.
1061975,Korea Electric Terminal Co. Ltd.
1061993,Alteogen Inc.
1061994,Seegene Inc.
1062024,Cigna Corporation
1062044,Federated Hermes Inc
1062065,MaxLinear Inc
1062113,United States Cellular Corp
1062383,Bunge Ltd
1062388,Pilgrims Pride Corp
1062391,Treehouse Foods Inc
1062410,Raytheon Technologies Corporation
1062450,Six Flags Entertainment Corp
1062462,Dell Technologies Inc
1062463,National Instruments Corp
1062464,Sabre Corp
1062469,OGE Energy Corp
1062500,DocuSign Inc
1062503,Everbridge Inc
1062506,Lyft Inc
1062525,Sterling Bancorp
1062535,Zendesk Inc
1062537,Zynga Inc
1062571,Manitex International Inc
1100184,Wharf Real Estate Investment Company Limited 
1100723,"HD Hyundai Heavy Industries Co.,Ltd."
1101443,Alibaba Group Holding Limited
1101489,"JD.com, Inc."
1101496,"NetEase, Inc."
